id,prompt_name,input,target
0,Generate a summary for this dialogue,"Generate a summary for this dialogue:
Joanne: Btw. I don’t know what to bring for the party, so I want to organize Mark's birthday. I bought a cake in which I’ll put candles. When everyone arrives, we can sing happy birthday.
Aaron: When’s his birthday?
Joanne: Next month, but whatever
Aaron: Lol. What?
Joanne: I know Mark would get the joke, but I'm not sure if other people would.
Aaron: Yeah, I don’t get it.
Joanne: Ook, I will not involve other people into singing happy birthday for a person who doesn't have birthday.
Aaron: Haha well maybe it would be fun?
Joanne: I believe it's fun, but I am not sure if it's a good idea. I also got a rubber duck for him.
Aaron: You’re so random. Why?
Joanne: Duck rhymes with fuck. He broke up with his girlfriend and he probably feels that there is something missing in his life. A duck can fill the hole.
Aaron: Also I need ur advice. I hope it won’t be awkward between me and Aurelia... I mean obv nothing is going to happen, but shall I say that I’m seeing someone? I know u may think this is me being weird or something. I just want it to be normal time lol so maybe it’s best she knows? I dunno maybe not
Joanne: Idk what to say, I definitely won't judge you, but I think the more open you're about your girl, the better for the whole situation
Aaron: So message now her then! Ok good idea.",Joanne wants to organize Mark's birthday party much earlier as a joke to cheer him up. Aaron isn't sure about the idea. Aaron will let Aurelia know he has a girlfriend.
1,Write a dialogue that match this summary,Write a dialogue that matches this summary: Danny has info from Michael that Frank and Sue are dating.,"Danny: geez, it's so boooring
Kate: tell me about it *snooze*
Danny: have you heard about Frank and Sue?
Kate: ? no? what about them?
Danny: I've heard they're dating
Kate: pfff, says who
Danny: Michael
Kate: like he knows
Danny: Hahaha, i know, right? :D
Kate: I'd rather believe Frank and Mike are dating :P"
2,Write a dialogue that match this summary,Write a dialogue that matches this summary: Diana's mother died a year ago. Danielle's mother died in 1977. They used to talk every day at 9 pm.,"Diana: One year ago my mother passed away
Danielle: I’m sorry to hear that
Diana: She was an amazing woman
Diana: She was born in 1920
Diana: She was a young woman when the war started
Danielle: Like my mother…
Diana: Is she still alive?
Diana: No. She died in 1977.
Danielle: My mother joined the communist party and was fighting in the resistance movement
Danielle: She saw many of her colleagues arrested and executed but she was lucky to survive
Danielle: She met my father in 1943
Danielle: He was also a communist
Danielle: He was killed one year after I was born
Diana: So you don’t remember your dad?
Danielle: Sadly I don’t. But my mother loved him dearly.
Danielle: He was the love of her life. 
Danielle: She was with a few men later in her life
Danielle: But none of them was so dear to her
Danielle: Mostly she brought me up alone, which was uncommon in the 50s. 
Danielle: She was a really strong and courageous woman.
Danielle: I miss her a lot. 
Danielle: For the past 10 years, we used to call each other everyday at 9 p.m.
Danielle: And suddenly she passed away
Danielle: I still feel the need to talk to her in the evening.
Danielle: But she’s not there anymore to pick up my phone call…"
3,Sum up the following dialogue,"Sum up the following dialogue: 
Becky: Ladies are you going to the beach?
Erin: We are going for a massage :woman-getting-massage::skin-tone-3:
Erin: Then infinity pool later
Becky: Ooo nice!
Becky: What time are you heading to the pool? I think Fred and I are thinking of getting there at 3
Eva: are guys you driving there? If yes, can I and Vic squeeze in the trunk? :)
Erin: Prob around 3 also!
Becky: I think so but we have to see which one we’re going to cause one of them supposedly is too steep to drive up
Eva: isnt it The last 100 metres that is too steep to drive? Either way, we're up for anything :wink:
Becky: Honestly there’s one that you can drive up and the other we’d have to park and walk up, but I have no idea where they are or which one people are going to lol
Irene: yea what is the infinity pool place called? can’t find this info anywhere
Eva: Hotel Vista de Olas
Summer: It really easy to find. Just look for the sign along the left side of the road. Only took Alex and I like 20 minutes to walk there yesterday. It’s not super steep but the road seems like it would be really hard to drive on because of pot holes
Irene: Thanks thats good to know! Don’t want to risk it with the car - so will prob just park close to the bottom.",Becky will give Eva and Vic a ride to the infinity pool. Summer gives Irene directions to Hotel Vista de Olas.
4,Summarize this dialogue:,"Summarize this dialogue: Nick: Hi, got your message.
Ralph: Good, what do you say?
Nick: Depends. Need more info. Let's meet.
Ralph: Ok. Will email you later.","Nick got Ralph's message. Nick and Ralph will meet, because Nick needs more information. Ralph will send an email to Nick later."
5,Generate a summary for this dialogue,"Generate a summary for this dialogue:
Paul: hey, wanna go to an escape room this Friday?
Joe: yeah! 
Rob: sure, love escape rooms, there a new one in the city I haven't been to yet
Paul: which one is it?
Rob: its theme is narcos, i can book us a slot if you're in
Paul: yes, let's do this one
Joe: agree! Friday sounds good
Rob: great, just give me a minute","Paul, Joe and Rob will go to the new Narcos-themed escape room. Rob will book a slot for Friday."
6,To sum up this dialog,"Scott: Hey sexy
Sasha: Hey
Scott: How are you ?
Sasha: I'm fine thanks and you?
Scott: Not too bad. What you been up to ?
Sasha: I'm getting ready for the party with my mates from the uni
Scott: Oh ok enjoy. I missed you!
Sasha: I missed you too!
Scott: I'm back in Uganda now, so nice having good food and not paying crazy amounts for it
Sasha: Thnx actually I'm feeling tired already but I know I need to go there because it's the first such a party with them. So if I don't go there they won't invite me anymore
Scott: Haha you should go then
Sasha: Yeah :)
Scott: Have fun
Sasha: Thank u
To sum up this dialog:",Scott is back to Uganda. Sasha is tired but she is going to attend a party with her colleagues from university. Scott and Sasha miss each other.
7,To sum up this dialog,"Raymond: a brief reminder bro, carry your documents
Reddington: no need to worry, thats the first thing i put in my bag
Raymond: ID, passport and the rest?
Reddington: yes.
Raymond: okay then
Reddington: cant wait for the interview.
Raymond: are you nervous?
Reddington: just a little bit, what about you?
Raymond: me too, bt it will be fine
Reddington: me too i have that feeling that it will all be okay.
Raymond: God first 
Reddington: yeah, God first
Raymond: later then
Reddington: okay
To sum up this dialog:",Raymond reminds Reddington to pack documents up. They will have an interview.
8,To sum up this dialog,"Taylor: Where have u reached?
Owen: I have just crossed LA
Taylor: would be waiting :)
To sum up this dialog:",Owen just passed LA. Taylor will be waiting.
9,To sum up this dialog,"Paul: Why does Tom and Marry talk only about food?
Miranda: Maybe they don't have better topics?
Paul: How can you even talk so much about food
Olivia: Hahahaha
Olivia: It's true
Olivia: Now when I think of it
Olivia: Maybe it's some kind of a game?
Olivia: In public we talk only about food 
Olivia: And we will see if people notice
To sum up this dialog:",Tom and Marry talk only about food in public.
