id,prompt_name,input,target
0,pick_one_category_for_the_following_text,"Pick one category for the following text. The options are - company, educational institution, artist, athlete, office holder, mean of transportation, building, natural place, village, animal, plant, album, film or written work. Artic (tram) -  Artic also styled as ARTIC by the manufacturer is an articulated low-floor tram model designed and manufactured by Transtech Oy in Finland.In December 2010 the design was included in the winning tender to deliver 40 new trams to the Helsinki City Transport (HKL) the municipal tram operator of Helsinki Regional Transport Authority (HSL) with an option for 90 units more.",MeanOfTransportation
1,pick_one_category_for_the_following_text,"Pick one category for the following text. The options are - company, educational institution, artist, athlete, office holder, mean of transportation, building, natural place, village, animal, plant, album, film or written work. The Case of the 3 Sided Dream in Audio Color -  The Case of the 3 Sided Dream in Audio Color is an album by jazz multi-instrumentalist Rahsaan Roland Kirk originally released as a double LP with side 4 appearing blank - although side 4 did have a hidden track the contents of which are released as track #20 on the CD rerelease.",Album
2,given_a_list_of_category_what_does_the_title_belong_to,"""Tom McGuinness (Gaelic footballer)"", given a list of categories: company, educational institution, artist, athlete, office holder, mean of transportation, building, natural place, village, animal, plant, album, film or written work, what category does the title belong to?",Athlete
3,given_list_what_category_does_the_paragraph_belong_to,"Moos Tower is a building on the University of Minnesota campus in Minneapolis Minnesota. It is named after Malcolm Moos who was president of the University from 1967 to 1974. Inside Moos Tower are labs and faculty offices for the College of Dentistry and a CityKid Java with a designated study lounge.Moos Tower is an example of Brutalist architecture. Given a list of categories: company, educational institution, artist, athlete, office holder, mean of transportation, building, natural place, village, animal, plant, album, film or written work, what category does the paragraph belong to?",Building
4,given_a_choice_of_categories ,"Ferruginous Partridge -  The Ferruginous Partridge (Caloperdix oculeus) is a species of bird in the Phasianidae family. It belongs to the monotypical genus Caloperdix. It is found in Indonesia Malaysia Myanmar and Thailand.Its natural habitats are subtropical or tropical dry forests and subtropical or tropical moist lowland forests. It is threatened by habitat loss. Given a choice of categories company, educational institution, artist, athlete, office holder, mean of transportation, building, natural place, village, animal, plant, album, film or written work, the text refers to which one?",Animal
5,given_a_choice_of_categories ,"Paul Tittl -  Paul Tittl (born November 23 1961) is an American businessman and politician.From Manitowoc Wisconsin Tittl owns Vacuum & Sew Center and Paintball Paul's. Tittl also served on the Manitowoc County Board of Supervisor and Manitowoc Common Council. In November 2012 Tittl was elected to the Wisconsin State Assembly as a Republican. Given a choice of categories company, educational institution, artist, athlete, office holder, mean of transportation, building, natural place, village, animal, plant, album, film or written work, the text refers to which one?",OfficeHolder
6,given_list_what_category_does_the_paragraph_belong_to,"The Bridge of San Luis Rey is a 2004 drama film directed by Mary McGuckian and featuring an ensemble cast of American and international actors. It is based on Thornton Wilder's novel of the same name. The film was released in 2004 in Spain and 2005 in the U.S. and abroad. Despite praise for its costume design the film was poorly received by critics. Given a list of categories: company, educational institution, artist, athlete, office holder, mean of transportation, building, natural place, village, animal, plant, album, film or written work, what category does the paragraph belong to?",Film
7,given_a_choice_of_categories ,"Physaria fremontii -  Physaria fremontii (syn. Lesquerella fremontii) is a species of flowering plant in the mustard family known by the common name Fremont's bladderpod. It is endemic to Wyoming in the United States where it occurs only in and around the Wind River Range in Fremont County.This species is a perennial herb growing from a taproot and producing decumbent or prostrate stems up to 15 centimeters long. The basal leaves are up to four or five centimeters long with oval blades borne on petioles. Given a choice of categories company, educational institution, artist, athlete, office holder, mean of transportation, building, natural place, village, animal, plant, album, film or written work, the text refers to which one?",Plant
8,pick_one_category_for_the_following_text,"Pick one category for the following text. The options are - company, educational institution, artist, athlete, office holder, mean of transportation, building, natural place, village, animal, plant, album, film or written work. Tongues (Esham album) -  Tongues is the eighth studio album by Esham released in 2001. The album was also the final album Esham would release on Gothom until Sacrificial Lambz in 2008. The album also marked the return of an old horror/devil sound for Esham.",Album
9,given_a_list_of_category_what_does_the_title_belong_to,"""Willow-Spence Streets Historic District"", given a list of categories: company, educational institution, artist, athlete, office holder, mean of transportation, building, natural place, village, animal, plant, album, film or written work, what category does the title belong to?",Building
