id,prompt_name,input,target
0,reply_with_emoation_label,i feel super good. What is the emotion expressed in this message?,joy
1,answer_question_with_emotion_label,i am trying to work on finding the joy in the simple thing that god is finding joy in my obedience to him even if it doesn t feel very joyful in the way that i am used to. How will you feel about the message?,joy
2,select_emotion_label_from_list,"'Given the message: i feel like im gonna be so greedy with him cuz i just love him so much. 

Out of the options, sadness, joy, love, anger, fear and surprise, 

the emotion in the message is",anger
3,choose_the_best_emotion_label,i didn t feel like getting shaken down by the tsa quite yet so i pulled off to the side at creative croissants for a lunch. The emotion expressed for the message is,fear
4,choose_the_best_emotion_label,i feel very relaxed playing with carl clarke says. The emotion expressed for the message is,joy
5,predict_the_best_emotion_label,i forget that im supposed to be sad about being single or stressed about work and just smile and feel peaceful. What emotion does the writer express for the message?,joy
6,select_emotion_label_from_list,"'Given the message: i am sure the vast majority of decent working class people feel insulted about being derided as unable to be respectful towards referees and are the parents who watch their child s match shouting abuse and swearing etc. 

Out of the options, sadness, joy, love, anger, fear and surprise, 

the emotion in the message is",anger
7,predict_the_best_emotion_label,i feel like i am abandoning him in a way but he is so supportive of the move. What emotion does the writer express for the message?,love
8,answer_question_with_emotion_label,i expect and hope the greater id feel disappointed. How will you feel about the message?,sadness
9,choose_the_best_emotion_label,i feel a little pained but that will probably pass the last illusions of childhood. The emotion expressed for the message is,sadness
10,predict_the_best_emotion_label,i do have good days and bad days but the bad days are awful resulting in constant trips to the bathroom a lot of pain bloat and discomfort lots of blood and just feeling completely exhausted and rundown. What emotion does the writer express for the message?,sadness
11,answer_with_class_label,What emotion does the following message express? i know intellectually that it s not true but i feel entirely isolated,sadness
12,answer_with_class_label,What emotion does the following message express? i had a feeling going into this book that its a little too well loved to be orthodox,joy
13,select_emotion_label_from_list,"'Given the message: i feel hesitant to share something i know and have experienced personally that can offer hope amp eternal life. 

Out of the options, sadness, joy, love, anger, fear and surprise, 

the emotion in the message is",fear
14,predict_the_best_emotion_label,i feel so regretful for things i cannot remember because i was so drunk. What emotion does the writer express for the message?,sadness
15,reply_with_emoation_label,i feel bashful under his teasing scrutiny. What is the emotion expressed in this message?,fear
16,answer_with_class_label,What emotion does the following message express? i feel a remembrance of the strange by justin aryiku falls into the latter category,fear
17,answer_with_class_label,What emotion does the following message express? i was feeling bad over it with every passing minute,sadness
18,predict_the_best_emotion_label,i feel more content with what i have achieved and i know if i don t write today there ll still be a tomorrow. What emotion does the writer express for the message?,joy
19,reply_with_emoation_label,i feel writing to sell to pander to popular taste just to make money is a sucker s game. What is the emotion expressed in this message?,joy
20,answer_question_with_emotion_label,ive slowed down i take time to listen to my child and be in the moment and not feel like i need to immediately update my status on fb about the cute thing she did. How will you feel about the message?,joy
21,answer_question_with_emotion_label,i had it in my head as it relates to the workplace because i had just been irritable to someone a tiny bit lower in status than myself in response to someone who is higher than me making me feel momentarily pressured. How will you feel about the message?,fear
22,select_emotion_label_from_list,"'Given the message: i feel accepted there said panorma who is from indonesia. 

Out of the options, sadness, joy, love, anger, fear and surprise, 

the emotion in the message is",love
23,choose_the_best_emotion_label,i feel guilty to my family my friends who made the introduction for me to that job and somehow i even feel guilty to my boss even though he fooled and lied to me. The emotion expressed for the message is,sadness
24,answer_with_class_label,What emotion does the following message express? i was using it to vent out ugly feelings and be vicious and nasty rather then deal with them like an adult,anger
25,select_emotion_label_from_list,"'Given the message: i thought that was the end of it but a few minutes ago i got off the couch and felt so hot and sore and soft yknow when you have a fever how your body just feels really tender. 

Out of the options, sadness, joy, love, anger, fear and surprise, 

the emotion in the message is",love
26,reply_with_emoation_label,i don t want to tell people how my first was with you and how you made me feel i don t want to think that you re the most gorgeous guy i ve ever seen and i love how other people disagree because i don t want them to see how truly wonderful you are to me. What is the emotion expressed in this message?,joy
27,answer_question_with_emotion_label,i feel so sorry for californians. How will you feel about the message?,sadness
28,reply_with_emoation_label,i didnt even have time to feel jealous i was so busy pinning her pictures and writing down a href http nanashi. What is the emotion expressed in this message?,anger
29,select_emotion_label_from_list,"'Given the message: i feel it is my solemn duty to share this divine knowledge of mine in order that others may benefit from it s truth and beauty and render their world just a tad closer to thearchitecturality that utopian perfectly set garage society to which we all strive. 

Out of the options, sadness, joy, love, anger, fear and surprise, 

the emotion in the message is",joy
30,choose_the_best_emotion_label,i point these things out so as to make clear that i went into this film with the best intentions but left feeling irritated confused and wore out. The emotion expressed for the message is,anger
31,reply_with_emoation_label,i feel so dirty so unamerican so french. What is the emotion expressed in this message?,sadness
32,answer_question_with_emotion_label,i feel exceptionally lucky to visit suzanna whose life here is pretty damn idyllic at least from the perspective of a vacationer breezing in for a week. How will you feel about the message?,joy
33,answer_with_class_label,What emotion does the following message express? i have been feeling is any indication on this childs personality then i am petrified,fear
34,reply_with_emoation_label,i am feeling emotional about something or other positive or otherwise. What is the emotion expressed in this message?,sadness
35,choose_the_best_emotion_label,i have also learned it takes a lot of effort and positive thinking for me not to break down in tears over feeling exhausted and guilty for not being a better mom. The emotion expressed for the message is,sadness
