id,prompt_name,input,target
0,general_qa,When should I take a medication?,"Knowing when to take a medication requires understanding what kind of medication it is, who is taking it, and what kinds of pre-existing conditions they have that may interact with the medication.  Therefore, in this case it is best to consult with your doctor."
1,general_qa,What is the city of Seattle known for?,"Seattle is located in the northwest corner of the United States and is known for its overcast and rainy weather. Seattle has a strong coffee culture, in part because Starbucks was started there. The surrounding Cascade mountains and Puget Sound provide plenty of outdoor adventures, such as boating, rock climbing, and hiking. Many famous musicians started in Seattle, including Nirvana and Macklemore."
2,classification,"Classify each of the following as either Mexican food or Vietnamese food: pho, tacos, spring rolls, bun bo hue, burritos, frijoles, banh mi, nachos","Vietnamese food: pho, spring rolls, bun bo hue, banh mi
Mexican food: tacos, burritos, frijoles, nachos"
3,open_qa,"How many vaccines should I get, if a dog bites me?","There is no common number that applies to all, so you should immediately seek medical assistance. And then, based on the severity of the bite, your health provider can recommend the number of vaccines, along with any other treatment."
4,general_qa,Why isn't multi-threading making my Python code faster? How can I fix it.,"Python restricts access to the interpreter with a Global Interpreter Lock, referred to as the GIL, for internal thread-safety requirements. Unfortunately, this design decision restricts only allows one thread to interpret Python code at a time, even on a machine with the capability to run multiple threads together. 

If you wish to run Python code on a set of data, and the data can be broken up into independent segments (a process known as data partitioning), you may wish to look into the multiprocessing library in Python. 

As an example, consider the function foo which takes one argument, arg1, and say you wanted to run the foo function on a number of values, say, val1, val2, and val3.

def foo(arg1):
  # do something

if __name__ == '__main__':
  foo(val1)
  foo(val2)
  foo(val3)

To have foo execute on multiple processes together, you could use the multiprocessing Pool  to run multiple worker processes together:

from multiprocessing import Pool

def foo(arg1):
  # do something

if __name__ == '__main__':
  p = Pool()
  p.map(foo, [val1, val2, val3])

The multiprocessing library also provides various other APIs for parallel programming. Would you like to know more?"
5,closed_qa,"How many and which states were US Colonies?

Context:
The Thirteen Colonies, also known as the Thirteen British Colonies, the Thirteen American Colonies, were a group of British colonies on the Atlantic coast of North America. Founded in the 17th and 18th centuries, the American Enlightenment led these colonies to revolution, and declaring full independence in July 1776. With victory over Britain in the American Revolutionary War the former colonies were confirmed as the new United States of America. Just prior to declaring independence, the Thirteen Colonies in their traditional groupings were: New England (New Hampshire; Massachusetts; Rhode Island; Connecticut); Middle (New York; New Jersey; Pennsylvania; Delaware); Southern (Maryland; Virginia; North Carolina; South Carolina; and Georgia). The Thirteen Colonies came to have very similar political, constitutional, and legal systems, dominated by Protestant English-speakers. The first of these colonies was Virginia Colony in 1607, a Southern colony. While all these colonies needed to become economically viable, the founding of the New England colonies, as well as the colonies of Maryland and Pennsylvania, were substantially motivated by their founders' concerns related to the practice of religion. The other colonies were founded for business and economic expansion. The Middle Colonies were established on an earlier Dutch colony, New Netherland. All the Thirteen Colonies were part of Britain's possessions in the New World, which also included territory in Canada, Florida, and the Caribbean.","There were 13 British Colonies that became States in the United States of America in 1776:  Connecticut, Delaware, Georgia, Maryland, Massachusetts, New Hampshire, New Jersey, New York, North Carolina, Pennsylvania, Rhode Island, South Carolina, and Virginia."
6,classification,"Which of these books were written by James Michener and which were written by Ian McEwan: Tales of the South Pacific, Saturday, Atonement, The Children Act, Hawaii, Texas, On Chesil Beach, and Alaska.","The books by James Michener are Tales of the South Pacific, Hawaii, Texas, and Alaska, and Ian McEwan wrote Saturday, Atonement, The Children Act, and On Chesil Beach."
7,open_qa,"Who is the primary female antagonist on ""The X-Files""?",Special Agent Dana Katherine Scully
8,general_qa,What is a traditional IRA or 401k?,"The two primary options for retirement savings include individual retirement accounts and a defined contribution plan such as a 401k. Individuals can choose to save on their own and open an IRA, however a IRA opened by an individual won't carry the benefit of employer matching. Typically individuals contribute a percentage of their salary to their 401k, and many employers may offer matching contributions to that 401k up to a specified dollar amount."
9,general_qa,What is the difference between NAFTA and NATO?,"NAFTA was the North American Free Trade Agreement, an agreement that created a trade bloc in North America between Canada, Mexico and the United States that was in force from 1994 to 2020.  NATO is the North Atlantic Treaty Organization, a military alliance with 30 member states created in 1949 after World War 2."
10,creative_writing,Propose a text about young boy that wanted to fly his kite over the skyscrapers. Make this a very positive story with a twist,"Bob is a fun a loving kid that spends lots of his free time outdoors. Whenever there is a good wind he takes his kite, a gift from his dad, and goes out to play and fly. One day his dad was going to a very big city to talk with some of his partners. Bob got immediately very excited. It was his dream to take his kite and fly it from one of the very big and tall buildings. His dad made this all happen. Together with his son they went on the roof and played with the kite."
