id,prompt_name,input,target
0,classify_with_choices_question_first,"Is this a piece of news regarding world politics, sports, business, or science and technology?
PA: Gaza to remain occupied land even after disengagement Israel will remain an occupying power in the Gaza Strip even if it carries out the disengagement plan, and should be treated as such, according to a legal document prepared by the Palestinian Authority.",World
1,classify_question_first,"What label best describes this news article?
Schroeder #39;s SPD Routed in Saarland, Far Right Gains German Chancellor Gerhard Schroeder #39;s Social Democrats slumped to their worst result in 44 years in the western state of Saarland on Sunday as voters punished the party for its painful economic reforms.",World
2,classify,"New GuruNet Beta includes Desktop Search New GuruNet Beta includes Desktop Search\\Bob Rosenschein and his team are online with the beta release of a new Gurunet client (ver. 5.2, Windows only). Their useful GuruNet answer/reference tool now includes a desktop search app. We haven't has a chance to try it out yet (we will) but we ... 
What label best describes this news article?",Sci/Tech
3,classify_question_first,"What label best describes this news article?
Desiring Stability Redskins coach Joe Gibbs expects few major personnel changes in the offseason and wants to instill a culture of stability in Washington.",Sports
4,classify,"Padres Paste Slumping Mets 4-0 (AP) AP - Brian Lawrence escaped a bases-loaded jam in the first inning and allowed just four hits the rest of the way Wednesday night, pitching the San Diego Padres to a 4-0 victory over the slumping New York Mets. 
What label best describes this news article?",Sports
5,classify_with_choices,"Will Putin #39;s Power Play Make Russia Safer? Outwardly, Russia has not changed since the barrage of terrorist attacks that culminated in the school massacre in Beslan on Sept. 
Is this a piece of news regarding world politics, sports, business, or science and technology?",World
6,which_section_choices,"Nippon Steel to pay double for coal next year Nippon Steel, Japans leading steelmaker, has agreed to pay a record price of more than \$120 per tonne for coking coal from next spring to Australias BHP Billiton Mitsubishi  

Which of the following sections of a newspaper would this article likely appear in? World News, Sports, Business, or Science and Technology?",Business
7,recommend,"Would you recommend the following article to a politician, an athlete, a business executive, or a scientist?

RBC Centura CEO steps down RALEIGH, NC - The head of RBC Centura Bank has stepped down, and his successor will run the bank out of Raleigh rather than Rocky Mount, where the bank is based.",Business
8,classify_with_choices,"Iraq ; Black Watch look to Christmas Soldiers declared  quot;mission accomplished quot; as the battle group convoy of more than 200 vehicles arrived at the relative safety of Shaibah Logistics Base. 
Is this a piece of news regarding world politics, sports, business, or science and technology?",World
9,classify_with_choices_question_first,"Is this a piece of news regarding world politics, sports, business, or science and technology?
Toxic Algae Bloom Seen Off Washington State Coast An unusually large toxic bloom of algae, which could poison humans and taint shellfish, has been detected in the ocean off the northwest coast of Washington state, oceanographers said on Wednesday.",Sci/Tech
10,classify_with_choices,"Feds go after  #39;Spam King #39; Federal attorneys are trying to shut down an allegedly illicit Internet business operated out of a dance club in Rochester that is deluging computers with unwanted pop-up ads by hijacking their browsers. 
Is this a piece of news regarding world politics, sports, business, or science and technology?",Sci/Tech
11,which_section,"Howard University engineering programs get a boost Industry giants are giving Howard University \$70.6 million in technology to help the school #39;s engineering and science programs. 

Which section of a newspaper would this article likely appear in?",Business
12,classify_with_choices,"Black to Sue Hollinger Committee for C\$1.1 Bln Fallen press baron Conrad Black will sue Hollinger International Inc. #39;s special committee and others for C\$1.1 billion (\$870 million) over a report that accused him of looting the company of millions of dollars. 
Is this a piece of news regarding world politics, sports, business, or science and technology?",Business
13,which_section_choices,"PAISLEY #39;S PLAN FOR IRA NORTHERN Ireland could return to self-government next spring, the Rev Ian Paisley #39;s Democratic Unionist Party said last night. 

Which of the following sections of a newspaper would this article likely appear in? World News, Sports, Business, or Science and Technology?",World
14,which_section_choices,"US Envoy Positive About Security Council Talks On Sudan Nairobi, Nov. 18 (NNN) : Ambassadors from the United Nations Security Council are set to meet in the Kenyan capital for talks on Sudan at a two-day event in Nairobi which will focus on the peace process in  

Which of the following sections of a newspaper would this article likely appear in? World News, Sports, Business, or Science and Technology?",World
15,classify_with_choices_question_first,"Is this a piece of news regarding world politics, sports, business, or science and technology?
Revlon #39;s loss widens in third quarter Revlon Inc. #39;s third-quarter loss widened amid a 7 percent drop in sales as the cosmetics giant completed an ambitious refinancing effort.",Business
