id,prompt_name,input,target
0,given_a_choice_of_categories ,"Sparebanken NOR -  Union Bank of Norway branded as Sparebanken NOR was Norway's largest savings bank between 1990 and 1999. The bank was created as a merger between Sparebanken ABC and four other regional savings banks. The new bank had its headquarters in Oslo and was in existence until 1999 when it merged with Gjensidige to form Gjensidige NOR. Given a choice of categories company, educational institution, artist, athlete, office holder, mean of transportation, building, natural place, village, animal, plant, album, film or written work, the text refers to which one?",Company
1,given_a_list_of_category_what_does_the_title_belong_to,"""American Letter Mail Company"", given a list of categories: company, educational institution, artist, athlete, office holder, mean of transportation, building, natural place, village, animal, plant, album, film or written work, what category does the title belong to?",Company
2,given_list_what_category_does_the_paragraph_belong_to,"Corridors of Power is the third solo album by Irish guitarist Gary Moore released in 1982. It contains a cover of Free's Wishing Well. Given a list of categories: company, educational institution, artist, athlete, office holder, mean of transportation, building, natural place, village, animal, plant, album, film or written work, what category does the paragraph belong to?",Album
3,pick_one_category_for_the_following_text,"Pick one category for the following text. The options are - company, educational institution, artist, athlete, office holder, mean of transportation, building, natural place, village, animal, plant, album, film or written work. Kanni Banmauk -  Kanni is a village in Banmauk Township Katha District in the Sagaing Region of northern-central Burma.",Village
4,given_a_choice_of_categories ,"Zombie Hunter (film) -  Zombie Hunter is a 2013 American direct-to-video action-thriller film directed and written by Kevin King for The Klimax and Arrowstorm Entertainment. The film stars Danny Trejo Martin Copping and Clare Niederpruem. It follows a group of humans led by Jesús (Trejo) defending themselves from flesh-devouring zombies. A fundraising campaign was hosted on the website Kickstarter to help fulfill the production team's desired budget. Given a choice of categories company, educational institution, artist, athlete, office holder, mean of transportation, building, natural place, village, animal, plant, album, film or written work, the text refers to which one?",Film
5,given_a_list_of_category_what_does_the_title_belong_to,"""Tom McGuinness (Gaelic footballer)"", given a list of categories: company, educational institution, artist, athlete, office holder, mean of transportation, building, natural place, village, animal, plant, album, film or written work, what category does the title belong to?",Athlete
6,given_list_what_category_does_the_paragraph_belong_to,"Żerechowa [ʐɛrɛˈxɔva] is a village in the administrative district of Gmina Łęki Szlacheckie within Piotrków County Łódź Voivodeship in central Poland. It lies approximately 7 kilometres (4 mi) north-west of Łęki Szlacheckie 20 km (12 mi) south of Piotrków Trybunalski and 65 km (40 mi) south of the regional capital Łódź.The village has a population of 254. Given a list of categories: company, educational institution, artist, athlete, office holder, mean of transportation, building, natural place, village, animal, plant, album, film or written work, what category does the paragraph belong to?",Village
7,pick_one_category_for_the_following_text,"Pick one category for the following text. The options are - company, educational institution, artist, athlete, office holder, mean of transportation, building, natural place, village, animal, plant, album, film or written work. Honesdale High School -  Honesdale High School is a public four-year regional high school serving grades 9-12 in Honesdale Wayne County Pennsylvania United States as a part of the Wayne Highlands School District. In 2010 the School reported an enrollment of 978 pupils in grades 9th through 12th with 333 pupils eligible for a federal free or reduced-price lunch due to the family meeting the federal poverty level. The school employed 67 teachers yielding a student–teacher ratio of 14:1.",EducationalInstitution
8,given_a_choice_of_categories ,"Adam Oehlenschläger -  Adam Gottlob Oehlenschläger (14 November 1779 – 20 January 1850) was a Danish poet and playwright. He introduced romanticism into Danish literature. Given a choice of categories company, educational institution, artist, athlete, office holder, mean of transportation, building, natural place, village, animal, plant, album, film or written work, the text refers to which one?",Artist
9,given_a_list_of_category_what_does_the_title_belong_to,"""Fun Cinemas"", given a list of categories: company, educational institution, artist, athlete, office holder, mean of transportation, building, natural place, village, animal, plant, album, film or written work, what category does the title belong to?",Company
10,given_list_what_category_does_the_paragraph_belong_to,"Cynometra longipedicellata is a species of legume in the Fabaceae family.It is found only in Tanzania. Given a list of categories: company, educational institution, artist, athlete, office holder, mean of transportation, building, natural place, village, animal, plant, album, film or written work, what category does the paragraph belong to?",Plant
11,pick_one_category_for_the_following_text,"Pick one category for the following text. The options are - company, educational institution, artist, athlete, office holder, mean of transportation, building, natural place, village, animal, plant, album, film or written work. Aechmea 'Christie March' -  'Christie March' is a hybrid cultivar of the genus Aechmea in the Bromeliad family.",Plant
12,given_a_choice_of_categories ,"Eucalyptus conica -  Eucalyptus conica known as the Fuzzy Box is a common eucalyptus tree of the slopes and plains of New South Wales and adjacent areas in Queensland. Occurring as far north as the Carnarvon Range.Growing to 20 metres tall the bark is grey flaky box type bark with some paler patches shedding in short ribbons. Adult leaves are lanceolate or narrow-lanceolate in shape 7 to 12 cm long 0.8 to 2.5 cm wide. Greyish dull green on both sides. Locally frequent in grassy or dry sclerophyll woodland. Given a choice of categories company, educational institution, artist, athlete, office holder, mean of transportation, building, natural place, village, animal, plant, album, film or written work, the text refers to which one?",Plant
13,given_a_list_of_category_what_does_the_title_belong_to,"""In Persuasion Nation"", given a list of categories: company, educational institution, artist, athlete, office holder, mean of transportation, building, natural place, village, animal, plant, album, film or written work, what category does the title belong to?",WrittenWork
14,given_list_what_category_does_the_paragraph_belong_to,"Schwartziella puncticulata is a species of minute sea snail a marine gastropod mollusk or micromollusk in the family Rissoinidae. Given a list of categories: company, educational institution, artist, athlete, office holder, mean of transportation, building, natural place, village, animal, plant, album, film or written work, what category does the paragraph belong to?",Animal
15,pick_one_category_for_the_following_text,"Pick one category for the following text. The options are - company, educational institution, artist, athlete, office holder, mean of transportation, building, natural place, village, animal, plant, album, film or written work. Harrisburg High School (Arkansas) -  Harrisburg High School (HHS) is an accredited comprehensive public high school located in the city of Harrisburg Arkansas United States. The school provides secondary education for students in grades 9 through 12 serving all or portions of the communities of Harrisburg Weiner Cherry Valley and Trumann within Poinsett County Arkansas and is the sole high school administered by the Harrisburg School District.",EducationalInstitution
16,given_a_choice_of_categories ,"Bank of the Southwest Tower -  The Bank of the Southwest Tower was a proposed building located in Houston Texas at 1404 ft tall. It would have been second tallest building in North America after the Willis Tower in Chicago.[citation needed] With an estimated construction cost of $350–400 million the project was cancelled before construction commenced due to lack of funds during the economic downturn.The design created by architect Helmut Jahn of Murphy/Jahn Inc. Architects was the winner of a design competition in 1982. Given a choice of categories company, educational institution, artist, athlete, office holder, mean of transportation, building, natural place, village, animal, plant, album, film or written work, the text refers to which one?",Building
17,given_a_list_of_category_what_does_the_title_belong_to,"""Thalatta"", given a list of categories: company, educational institution, artist, athlete, office holder, mean of transportation, building, natural place, village, animal, plant, album, film or written work, what category does the title belong to?",Animal
18,given_list_what_category_does_the_paragraph_belong_to,"Kerem Cem Dürük (born 28 December 1977 in Muğla Turkey) better known as Keremcem is a Turkish pop singer and actor. He also hosted the short-lived television show Keremcem ile söyle söyleyebilirsen on Star TV. Given a list of categories: company, educational institution, artist, athlete, office holder, mean of transportation, building, natural place, village, animal, plant, album, film or written work, what category does the paragraph belong to?",Artist
19,pick_one_category_for_the_following_text,"Pick one category for the following text. The options are - company, educational institution, artist, athlete, office holder, mean of transportation, building, natural place, village, animal, plant, album, film or written work. Vriesea croceana -  Vriesea croceana is a species of the genus Vriesea. This species is endemic to Brazil.",Plant
20,given_a_choice_of_categories ,"Suleyman Rustam -  Suleyman Rustam (Azerbaijani: Süleyman Rüstəm; November 27 1906 - June 10 1989) is poet of the Soviet Azerbaijan playwright and a public figure. He is the poet of the Azerbaijan SSR (1960) laureate of the Stalin State Prize of the second degree (1950) Hero of Socialist Labour (1976) and a member of the Communist Party of the Soviet Union from 1940. Given a choice of categories company, educational institution, artist, athlete, office holder, mean of transportation, building, natural place, village, animal, plant, album, film or written work, the text refers to which one?",Artist
